N PROM_2019-2 PROM_2020-1 PROM_2020-2 PROM_2021-1 PROM_ACUMULADO SALARIO BENEFICIARIO EJECUCIÓN
26 4.50 4.60 4.60 4.50 4.60 3441033.00 "SI" 1.00
27 4.30 4.50 4.60 4.50 4.50 5523210.00 "SI" 1.00
28 4.50 4.50 4.70 4.80 4.60 3657230.00 "NO" 0.90
29 4.50 4.60 4.60 4.90 4.60 7495537.00 "SI" 1.00
30 4.30 4.10 4.40 4.40 4.30 3235832.00 "SI" 1.00
31 4.20 4.50 4.60 4.20 4.40 2290026.00 "SI" 1.00
32 4.40 4.40 4.60 4.70 4.50 3957188.00 "SI" 1.00
33 4.40 4.40 4.60 4.70 4.50 2633530.00 "SI" 1.00
34 4.40 4.60 4.60 4.60 4.50 2489102.00 "NO" 0.90
35 4.30 4.20 4.50 4.70 4.40 5121807.00 "SI" 1.00
36 4.10 4.40 4.60 4.40 4.40 2489102.00 "NO" 0.90
37 4.40 4.60 4.60 4.40 4.50 3441033.00 "SI" 1.00
38 4.20 4.60 4.70 4.60 4.50 3657230.00 "SI" 1.00
39 4.40 4.50 4.70 4.70 4.60 3441033.00 "SI" 1.00
40 4.10 4.10 4.50 4.60 4.30 3657230.00 "NO" 0.80
41 4.30 4.40 4.80 4.50 4.50 4530829.00 "SI" 1.00
42 4.50 4.70 4.70 4.50 4.60 3441033.00 "SI" 1.00
43 4.50 4.60 4.50 4.70 4.50 2290026.00 "SI" 1.00
44 4.50 4.50 4.60 4.80 4.60 4802791.00 "SI" 1.00
45 4.20 4.40 4.60 4.40 4.40 2992203.00 "SI" 1.00
46 4.30 4.40 4.70 4.30 4.50 2633528.00 "SI" 1.00
47 4.40 4.10 4.60 4.80 4.40 2633530.00 "NO" 0.90
48 4.30 4.30 4.70 4.60 4.50 2992203.00 "SI" 1.00
49 4.00 4.00 4.40 4.40 4.20 3441033.00 "SI" 1.00
50 4.40 4.50 4.70 4.60 4.50 2992203.00 "SI" 1.00
51 4.10 4.60 4.60 4.00 4.40 2489102.00 "NO" 0.90
52 4.20 4.50 4.60 4.10 4.40 3441033.00 "SI" 1.00
53 4.30 4.50 4.50 4.70 4.50 4473343.00 "SI" 1.00
54 4.50 4.10 4.50 4.60 4.40 3853957.00 "SI" 1.00
55 4.30 4.40 4.50 4.70 4.50 2992203.00 "SI" 1.00
56 4.40 4.50 4.50 4.60 4.50 3441033.00 "SI" 1.00
57 4.10 4.40 4.60 4.50 4.40 3180200.00 "SI" 1.00
58 4.30 4.60 4.60 4.40 4.50 4176344.00 "SI" 1.00
59 4.50 4.70 4.50 5.00 4.60 2633530.00 "NO" 0.90
60 4.30 4.50 4.60 4.30 4.40 4601842.00 "SI" 1.00
61 4.30 4.30 4.70 4.00 4.30 2992203.00 "NO" 0.75
62 4.30 4.50 4.90 5.00 4.60 2633528.00 "SI" 1.00
63 4.40 4.50 4.80 4.80 4.60 2633528.00 "SI" 1.00
64 4.40 4.50 4.80 4.80 4.60 2160301.00 "SI" 1.00
65 4.50 4.70 4.90 5.00 4.70 3028557.00 "SI" 1.00
66 4.30 4.60 4.80 4.00 4.40 2992203.00 "NO" 0.85
67 4.40 4.50 4.90 5.00 4.70 2633528.00 "SI" 1.00
68 4.30 4.50 4.50 4.00 4.30 4621937.00 "SI" 1.00
69 4.30 4.50 4.80 4.80 4.60 3438370.00 "SI" 1.00
70 4.40 4.60 4.80 5.00 4.70 2977032.00 "SI" 1.00
71 4.40 4.50 4.40 5.00 4.60 4521461.00 "SI" 1.00
72 4.50 4.50 4.90 5.00 4.70 2633528.00 "SI" 1.00
73 4.40 4.20 4.40 4.80 4.40 3494851.00 "SI" 1.00
74 4.70 4.70 4.90 5.00 4.80 3028557.00 "SI" 1.00
75 4.40 4.70 4.90 5.00 4.70 1887369.00 "SI" 1.00
76 4.60 4.70 4.90 5.00 4.80 3006893.00 "SI" 1.00
77 4.60 4.60 4.90 5.00 4.80 3441033.00 "SI" 1.00
78 4.20 4.70 4.80 4.50 4.50 2290026.00 "NO" 0.60
79 4.00 4.00 4.70 4.60 4.30 6995545.00 "NO" 0.70
80 4.50 4.60 4.90 4.40 4.60 2290026.00 "NO" 0.60
81 3.90 4.00 4.30 4.30 4.10 3657230.00 "NO" 1.00
82 4.30 4.60 4.80 4.80 4.60 2290026.00 "NO" 0.60
83 4.20 4.40 4.30 4.30 4.30 2324377.00 "NO" 0.60
84 4.10 4.50 4.50 4.50 4.40 2862467.00 "NO" 0.60
85 4.10 4.60 4.70 4.70 4.50 2489102.00 "NO" 0.60
86 4.40 4.50 4.70 4.30 4.50 3939851.00 "NO" 0.70
87 4.30 4.70 4.20 4.10 4.40 2992203.00 "NO" 0.85
88 4.30 4.60 4.50 4.20 4.40 3180200.00 "NO" 0.70
89 4.40 4.80 4.40 4.10 4.40 3180200.00 "NO" 0.85
90 4.60 4.70 4.70 4.20 4.60 2290026.00 "NO" 0.80
91 4.20 4.60 4.20 4.20 4.30 3180200.00 "NO" 0.80
92 4.40 4.60 4.60 4.10 4.50 3590644.00 "NO" 0.80
93 4.50 4.60 4.60 4.20 4.50 2992203.00 "NO" 0.90
94 4.30 4.60 4.30 4.10 4.40 2290026.00 "NO" 0.80
95 4.30 4.60 4.40 4.10 4.40 2489102.00 "NO" 0.85
96 4.30 4.80 4.60 4.20 4.50 2489102.00 "NO" 1.00
97 4.30 4.70 4.70 4.30 4.50 3320302.00 "NO" 1.00
98 4.70 4.70 4.70 4.30 4.60 2489102.00 "NO" 0.90
99 4.30 4.70 4.70 4.40 4.50 2489102.00 "NO" 0.80
100 4.30 4.60 4.50 4.20 4.40 3644504.00 "NO" 0.90
101 4.20 4.50 4.50 4.00 4.30 2992203.00 "NO" 0.65
102 4.40 4.70 4.50 4.10 4.50 2884985.00 "NO" 0.70
